Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Counter Measure),Custom field (Difficulty),Custom field (Fix Version/s),Custom field (Found Date),Custom field (Integrated CW),Custom field (Integrated Version),Custom field (Occurrence),Custom field (Origin of Task),Custom field (Original Estimate),Custom field (Planned End),Custom field (Planned Start),Custom field (Reject reason),Custom field (Risk),Custom field (Root cause),Custom field (SW Version),Custom field (SW_Version_Fix_Planned),Custom field (SW_Version_Fixed),Custom field (Story Points),Custom field (Test Delay Reason),Custom field (Test Result),Custom field (Velocity),Comment,Comment,Comment
[Spring] UI 작업,SMS-25,10939,Task,In Progress,SMS,SMS,software,sgyang,,,B,,sgyang,sgyang,sgyang,14/Aug/17 7:55 PM,12/Sep/17 10:47 AM,19/Oct/17 3:37 PM,,29/Sep/17 12:00 AM,0,"*목표*
 * 기본기능에 UI를 정밀화 하는 작업

*진행계획*
 * 기존의 코드를 리팩토링 하여 내부 속도 개선 
 * 스타일 개선 작업 진행",,sgyang,,기본기능 구현과 함께 진행중;12/Sep/17 10:47 AM;sgyang;86400,,,,,,,,,,,144000,57600,86400,60%,144000,57600,86400,,,상,,,,,,,,29/Sep/17 7:00 PM,25/Sep/17 10:00 AM,,,,,,,,,,,12/Sep/17 10:46 AM;sgyang;기본기능 구현과 같이 진행중,,
[Spring] 관리자 페이지 ,SMS-24,10938,Task,New,SMS,SMS,software,sgyang,,,B,,sgyang,sgyang,sgyang,14/Aug/17 7:51 PM,14/Aug/17 7:51 PM,19/Oct/17 3:37 PM,,22/Sep/17 12:00 AM,0,"*목표*
 * 관리자 페이지 구현

*진행계획*
 * 유저 관리 (2d)
 * 부서 관리 (1d)
 * CSV import  (3d)
 * Ldap (2d)
 * 고객 관리 (2d)",,sgyang,,,,,,,,,,,,,288000,288000,,0%,288000,288000,,,,상,,,,,,,,22/Sep/17 7:00 PM,11/Sep/17 10:00 AM,,,,,,,,,,,,,
[Spring] 그래프 기능,SMS-23,10937,Task,New,SMS,SMS,software,sgyang,,,B,,sgyang,sgyang,sgyang,14/Aug/17 7:44 PM,14/Aug/17 7:45 PM,19/Oct/17 3:37 PM,,08/Sep/17 12:00 AM,0,"*목표*
 * 그래프 기능 구현

*진행계획*
 * js 라이브러리를 이용하여 그래프를 뿌려줌
 * 그래프 데이터 부분 처리를 진행 (json)
 * 그래프 상세 페이지 구현",,sgyang,,,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,상,,,,,,,,08/Sep/17 7:00 PM,04/Sep/17 10:00 AM,,,,,,,,,,,,,
[Spring] 달력 기능,SMS-22,10936,Task,New,SMS,SMS,software,sgyang,,,B,,sgyang,sgyang,sgyang,14/Aug/17 7:38 PM,14/Aug/17 7:44 PM,19/Oct/17 3:37 PM,,01/Sep/17 12:00 AM,0,"*목표*
 * 달력 기능 구현

*진행계획*
 * js 라이브러리를 활용하여 데이터 갱신 및 구현
 * 데이터 부분 처리를 Ajax를 통하여 비동기 변환 진행
 * 월간 , 주간 기능 구현",,sgyang,,,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,상,,,,,,,,01/Sep/17 7:00 PM,28/Aug/17 10:00 AM,,,,,,,,,,,,,
[Spring] 리스트 기능,SMS-21,10935,Task,Verifying,SMS,SMS,software,sgyang,,,B,,sgyang,sgyang,sgyang,14/Aug/17 7:25 PM,07/Sep/17 11:13 AM,19/Oct/17 3:37 PM,,25/Aug/17 12:00 AM,0,"*목표*
 * 리스트 기능 구현 (주간 , 일일, 상담)

*진행계획*
 * 기본 값은 주간 계획으로 설정 
 * 페이징 기능 구현
 * 검색 기능 구현 (아래 참조 내용)
 * 상세 페이지 구현 
 * [http://192.168.1.7:8282/pages/viewpage.action?pageId=2686977]",,sgyang,,리스트 검색 팝업 작업;22/Aug/17 3:17 PM;sgyang;28800,페이징 기능 및 검색 기능 구현중;22/Aug/17 8:59 PM;sgyang;28800,페이징 기능 개선;29/Aug/17 6:40 PM;sgyang;28800,"리스트 목록 , 페이징 기능 , 검색 기능 개선

기존에 사용하던 로직을 수정 

코드를 좀더 간편히 수정;29/Aug/17 6:40 PM;sgyang;28800","리스트 기능 수정

검색 기능 수정 -> jquery 기능 개선 

기존에 막히던 jquery 부분을 개선;29/Aug/17 6:41 PM;sgyang;28800","*검색 기능 수정 -> (날짜에 따른 검색이 가능하게)*
 # 5 일 이상 전 -  More than 5 days ago
 # 지난 5분 이내 - Within the last 5 minutes
 # A 와 B사이  -  Between   A and B 

 

상세 페이지 UI 관련 분석 진행;29/Aug/17 6:42 PM;sgyang;28800",데이터 픽쳐를 이용해서 검색기능 구현;07/Sep/17 11:10 AM;sgyang;28800,상세페이지 UI작업 진행 -> 로직 설계 ;07/Sep/17 11:10 AM;sgyang;28800,"DB에 값을 연동하여 상세 페이지 뿌려줌

주간, 일일, 상담 3가지 전부 갱신;07/Sep/17 11:11 AM;sgyang;28800","상세페이지 외부접근 제어 (타유저가 URL 접근 못하게)

커멘트 기능 강화;07/Sep/17 11:12 AM;sgyang;28800","comment오류 부분 수정

comment 수정 삭제 기능 추가

popup 레이어 디자인 및 jquery 부분 기능 추가 (ajax 통신);07/Sep/17 11:13 AM;sgyang;28800",144000,0,316800,220%,144000,0,316800,,,상,,,,,,,,25/Aug/17 7:00 PM,21/Aug/17 10:00 AM,,,,,,,,,,,22/Aug/17 3:17 PM;sgyang;리스트 작업 진행,29/Aug/17 6:43 PM;sgyang;상세 페이지 구현에 시간이 걸려서 1W 연장합니다.,07/Sep/17 11:07 AM;sgyang;상세페이지 구현 완료
[Spring] 기본 UI 만들기,SMS-20,10934,Task,Verifying,SMS,SMS,software,sgyang,,,B,,sgyang,sgyang,sgyang,14/Aug/17 7:20 PM,22/Aug/17 3:16 PM,19/Oct/17 3:37 PM,,18/Aug/17 12:00 AM,0,"*목표*
 * 웹 사이트 상하 좌우 기본 UI 뼈대를 만듬 

*진행계획*
 * top 네비게이션 바 생성
 * 좌측 네비게이션 바 생성
 * 중앙 컨텐츠 내용 박스 생성",,sgyang,,"로그인 페이지 , 기본 상단바 

스프링 시큐리티 , massageSource

전역 예외처리 등등을 수정하고

서버에 작동 여부를 확인

 ;17/Aug/17 9:25 PM;sgyang;28800",;22/Aug/17 3:16 PM;sgyang;28800,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,중,,,,,,,,18/Aug/17 7:00 PM,17/Aug/17 10:00 AM,,,,,,,,,,,17/Aug/17 9:25 PM;sgyang;UI작업 시작,22/Aug/17 3:16 PM;sgyang;목표 UI 작업 완료,
[Spring] 로그인 기능,SMS-19,10933,Task,Verifying,SMS,SMS,software,sgyang,,,B,,sgyang,sgyang,sgyang,14/Aug/17 7:16 PM,16/Aug/17 9:55 PM,19/Oct/17 3:37 PM,,18/Aug/17 12:00 AM,0,"*목표*
 * 회원 로그인 기능 구현

*진행계획*
 * 기본 UI 구성 (위치 조정만)
 * 백엔드 Spring Security를 이용하여 구현",,sgyang,,"스프링 시큐리티를 기반으로 로그인 기능 구현 완료 

UI는 외부 라이브러리 사용 

 ;16/Aug/17 9:55 PM;sgyang;34560",,,,,,,,,,,28800,0,34560,120%,28800,0,34560,,,중,,,,,,,,16/Aug/17 7:00 PM,16/Aug/17 10:00 AM,,,,,,,,,,,16/Aug/17 9:55 PM;sgyang;로그인 기능 구현 완료,16/Aug/17 9:55 PM;sgyang;로그인 기능 구현 완료,
[Android] UI 정밀화 작업,SMS-18,10931,Task,Verifying,SMS,SMS,software,sgyang,,,B,,jslim,sgyang,sgyang,14/Aug/17 6:40 PM,14/Oct/17 6:36 PM,13/Oct/17 7:33 PM,,22/Sep/17 12:00 AM,0,"*목표*
 * 기본 기능에 UI를 정밀화 하는 작업

*진행계획*
 * 기존의 코드를 리팩토링 하여 내부 속도 개선 
 * 아이콘 추가작성 버튼 개선
 * 스타일 적용
 * GUI 속도 향상 ( 그래프 , 달력 )",,jslim,sgyang,;14/Oct/17 6:36 PM;jslim;144000,,,,,,,,,,,230400,86400,144000,62%,230400,86400,144000,,,중,,,,,,,,22/Sep/17 7:00 PM,13/Sep/17 10:00 AM,,,,,,,,,,,14/Oct/17 6:34 PM;jslim;   ,"14/Oct/17 6:35 PM;jslim;테스트 후 버그 수정

작성 ,수정,상세보기창 등의 세세한 오류들 수정

UI 디자인 완성

아이콘

 ",
[Android] 마이홈 기능,SMS-17,10930,Task,Verifying,SMS,SMS,software,sgyang,,,B,,jslim,sgyang,sgyang,14/Aug/17 5:57 PM,27/Sep/17 6:43 PM,19/Oct/17 3:37 PM,,15/Sep/17 12:00 AM,0,"*목표*
 * 마이홈 기능 구현

*진행계획*
 * 사용자가 선택한 값을 자신의 홈으로 지정하는 기능
 * 사용자가 리스트를 선택시 비동기로 Rest 서버에 보내고
 * Rest 서버는 값을 검증하여 해당 값을 입력하고 성공 여부를  json 데이터로 리턴함.
 * 성공여부를 받아서 검증하고 실패시 tost 를 띄워주고 
 * 성공시 다음부터 사용자가 접근하면 해당 tab으로 시작점을 변경함.",,jslim,sgyang,"액션바로 구현 

타이틀바에 고정, 홈이동버튼 추가

홈설정에 따라 첫 화면 변경;27/Sep/17 6:43 PM;jslim;57600",,,,,,,,,,,28800,0,57600,200%,28800,0,57600,,,중,,,,,,,,12/Sep/17 7:00 PM,12/Sep/17 10:00 AM,,,,,,,,,,,27/Sep/17 6:42 PM;jslim;   ,27/Sep/17 6:43 PM;jslim;   ,
[Android] 캘린더 기능,SMS-16,10929,Task,Verifying,SMS,SMS,software,sgyang,,,A,,jslim,sgyang,sgyang,14/Aug/17 5:52 PM,27/Sep/17 6:40 PM,19/Oct/17 3:37 PM,,15/Sep/17 12:00 AM,0,"*목표*
 * 캘린더 기능 구현

*진행계획*
 * 달력의 해당일을 클릭시 일일 업무 보고서 상세 Activity로 넘어간다.
 * 좌우로( 이전달, 다음달 ) 넘길수 있는 달력의 버튼이 있고
 * 평소에는 잘보이지 않으나 (흐릿하게 보임) 사용자가 클릭시 진하게 표시된다.
 상단에 오늘 이라는 버튼이 있어서 어느 페이지에서든 해당 월로 돌아올수 있다. (주일 경우 해당 주로)
 * 보기 방식이라는 버튼을 클릭시 리스트가 나오며 "" 주 , 월 "" 등을 선택하여 달력의 형식을 변경해서 볼수 있다.
 * Rest 서버에 데이터를 요청하여 라이브 러리를 이용하여 화면에 뿌려줌.",,jslim,sgyang,"캘린더 라이브러리 사용

날짜별 권한별 리스트 뿌려주기

팀장경우 클릭날짜의 승인요청온 일일보고서와 승인이 완료된 일일보고서 보여주기

팀원경우 클릭날짜의 주간계획서와 일일계획서 승인된 일일보고서 보여주기;27/Sep/17 6:39 PM;jslim;115200",,,,,,,,,,,86400,0,115200,133%,86400,0,115200,,,상,,,,,,,,11/Sep/17 7:00 PM,07/Sep/17 10:00 AM,,,,,,,,,,,27/Sep/17 6:38 PM;jslim;  ,27/Sep/17 6:38 PM;jslim;   ,
