Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Counter Measure),Custom field (Difficulty),Custom field (Fix Version/s),Custom field (Found Date),Custom field (Integrated CW),Custom field (Integrated Version),Custom field (Occurrence),Custom field (Origin of Task),Custom field (Original Estimate),Custom field (Planned End),Custom field (Planned Start),Custom field (Reject reason),Custom field (Risk),Custom field (Root cause),Custom field (SW Version),Custom field (SW_Version_Fix_Planned),Custom field (SW_Version_Fixed),Custom field (Story Points),Custom field (Test Delay Reason),Custom field (Test Result),Custom field (Velocity)
[ToDo] 양승근_09/29(금),FG-131,11119,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,13/Oct/17 8:07 PM,13/Oct/17 8:14 PM,16/Oct/17 11:54 AM,,,0,"그래프 기능 완성, 관리자 페이지 작업 진행

그래프의 Back 단 기능까지 구현 완료

관리자 페이지 UI작업 진행",,sgyang,"그래프 구현 완료

관리자 페이지 UI작업 진행 ;13/Oct/17 8:13 PM;sgyang;28800",,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/28(목),FG-130,11118,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,13/Oct/17 7:59 PM,13/Oct/17 8:00 PM,13/Oct/17 8:08 PM,,,0,"그래프 UI 부분 작업 (Front End)
 # 년도별 , 월별로 데이터를 출력 
 #  권한별 데이터 출력
 # 모달의 동적 생성 (모듈화)

 

 ",,sgyang,"그래프를 뿌려줌에 있어 데이터를 

권한별로 제어를 하는것이 

시간이 많이듬;13/Oct/17 8:00 PM;sgyang;28800",,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/27(수),FG-129,11117,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,13/Oct/17 7:41 PM,13/Oct/17 7:42 PM,13/Oct/17 7:43 PM,,,0,"DashBoard 부분 작업 진행

[https://gionkunz.github.io/chartist-js/] (chartist js 라이브러리)

그래프 라이브러리 문서를 분석 

애니메이션 모듈을 분석

 ",,sgyang,"chartist-js 문서를 분석하고

기본 UI 및 Back 단 데이터 흐름(로직)을 구성함;13/Oct/17 7:42 PM;sgyang;28800",,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/26(화),FG-128,11116,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,13/Oct/17 7:38 PM,13/Oct/17 7:38 PM,13/Oct/17 7:38 PM,,,0,"달력 부분 작업 진행 

[https://fullcalendar.io/]  (fullcalendar 라이브러리)

라이브러리 문서를 분석하여 Back단 데이터를 가공하여 뿌려줌

 ",,sgyang,달력 기능 구현 완료;13/Oct/17 7:38 PM;sgyang;28800,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/25(월),FG-114,11102,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,26/Sep/17 9:20 PM,26/Sep/17 9:24 PM,13/Oct/17 7:36 PM,,,0,"JIRA 유틸 플러그인 라이선스 갱신

캘린더 기능 구현, Jenkins 이용한 CI 및 

antroid 와 통합 테스트 진행 

 ",,sgyang,"테스트 진행시 발생한 버그 피드백

캘린더 기능 구현 -> full calendar 사용

 ;26/Sep/17 9:24 PM;sgyang;36000",,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/22(금),FG-110,11098,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,25/Sep/17 3:32 PM,26/Sep/17 9:16 PM,13/Oct/17 7:36 PM,,,0,"CRUD 전부 완성 -> test 밑 버그 수정 

코드 모듈화 작업 진행 

 

 ",,sgyang,"코드 모듈화 작업 진행

CRUD 테스트 진행;26/Sep/17 9:16 PM;sgyang;36000",,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/21(목),FG-109,11096,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,22/Sep/17 10:02 PM,22/Sep/17 10:04 PM,13/Oct/17 7:36 PM,,,0,"일일 업무 보고서에 상담일지 목록을 추가하는 multi select 부분 작업

Jquery ui 사용하여 UI를 통일화 진행",,sgyang,"ui 부분에서 이벤트가 겹치고 refresh 할경우 해당 input text 에 focus 문제가 

발생하여 고전하였지만 그위에 position absolute 값을 주어 

새로운 input에 데이터를 받는 형식으로 (눈속임) 진행함;22/Sep/17 10:03 PM;sgyang;36000",,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/20(수),FG-108,11095,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,22/Sep/17 9:57 PM,22/Sep/17 9:59 PM,22/Sep/17 9:59 PM,,,0,"Db로직 변경으로 인하여 VO 등을 수정

상담일지 입력 부분 Back 단 작업 진행 ",,sgyang,"상담일지 Back단 작업 진행

insert 문과 update 문을 다중 쿼리로 진행하는 부분에서 고전 ;22/Sep/17 9:59 PM;sgyang;36000",,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/19(화),FG-107,11094,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,22/Sep/17 9:54 PM,22/Sep/17 9:58 PM,22/Sep/17 9:58 PM,,,0,상담일지 팝업 레이어 UI작업 진행,,sgyang,"상담일지 팝업 UI 검색 부분 작업 진행

이벤트 가 자꾸 꼬여서 시간을 잡아먹음;22/Sep/17 9:56 PM;sgyang;36000",,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/18(월),FG-99,11086,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,19/Sep/17 9:43 AM,22/Sep/17 9:58 PM,19/Oct/17 3:37 PM,,,0,"일일 업무 보고서 부분 작업 완료

토스트 기능에 링크 기능을 추가하여 click 시 해당 page로 이동이 되도록 수정

기존 로직 개선",,sgyang,"일일 보고서 끝 

상담일지 작성 부분 작업;19/Sep/17 9:44 AM;sgyang;36000",,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
